0,1,2,3,4,5,6,7,8,9,10,11,12
Users x Problems,A,B,C,D,F,G,H,I,J,K,Total,Accepted
[UFAM] ICompUFAM-POG,1 (5%),2 (10%),0,0,1 (5%),6 (30%),5 (25%),0,2 (10%),3 (15%),20,2 (10%)
[UNIME] Sem net não da,8 (73%),0,0,1 (9%),2 (18%),0,0,0,0,0,11,2 (18%)
[UFBA] Robério e Seu Teclado,1 (11%),1 (11%),0,1 (11%),1 (11%),0,2 (22%),1 (11%),1 (11%),1 (11%),9,8 (89%)
[UESB] Ursos sem Curso,1 (11%),0,0,1 (11%),1 (11%),1 (11%),0,0,2 (22%),3 (33%),9,3 (33%)
[IFCE] O importante é não zerar!,1 (25%),0,0,1 (25%),2 (50%),0,0,0,0,0,4,3 (75%)
[UECE] Pokecode Go,1 (8%),0,0,1 (8%),1 (8%),1 (8%),3 (25%),0,2 (17%),3 (25%),12,4 (33%)
[UnB/FGA] Teorema de Offson,1 (9%),1 (9%),0,1 (9%),2 (18%),0,3 (27%),0,1 (9%),2 (18%),11,6 (55%)
[UnB] Turkeys,1 (6%),5 (31%),1 (6%),2 (13%),1 (6%),0,2 (13%),0,1 (6%),3 (19%),16,8 (50%)
[Ceunes-UFES] TLE,2 (13%),0,0,1 (6%),2 (13%),1 (6%),8 (50%),0,1 (6%),1 (6%),16,3 (19%)
[UFG] Where are the monkeys?,2 (15%),1 (8%),0,1 (8%),2 (15%),1 (8%),2 (15%),0,2 (15%),2 (15%),13,7 (54%)
[UFMA] UFMA GIF de Gatinhos,2 (29%),3 (43%),0,0,1 (14%),1 (14%),0,0,0,0,7,2 (29%)
[UFMG] Stenio Garcia,2 (9%),6 (27%),0,1 (5%),1 (5%),0,5 (23%),0,4 (18%),3 (14%),22,10 (45%)
[CEFET-MG] Ceferberus,1 (9%),0,0,2 (18%),2 (18%),1 (9%),0,0,3 (27%),2 (18%),11,3 (27%)
[Pitágoras] Pitágoras 3,2 (18%),0,0,2 (18%),1 (9%),3 (27%),3 (27%),0,0,0,11,3 (27%)
[DPI-UFV] Grafo de Botas,2 (13%),1 (7%),0,2 (13%),3 (20%),0,4 (27%),0,2 (13%),1 (7%),15,6 (40%)
[IFTM-Patrocínio] Carvalhos,2 (17%),1 (8%),0,0,2 (17%),0,4 (33%),0,2 (17%),1 (8%),12,2 (17%)
[UFU] Medalha++,1 (14%),0,0,1 (14%),1 (14%),0,0,0,1 (14%),3 (43%),7,4 (57%)
[UFU-Monte Carmelo] Bit Please,1 (8%),0,0,0,4 (33%),0,0,0,1 (8%),6 (50%),12,3 (25%)
[UNIFEI] Epic Sax Guys,1 (4%),1 (4%),0,1 (4%),1 (4%),14 (58%),1 (4%),2 (8%),2 (8%),1 (4%),24,8 (33%)
[IFSULMG-Muzambinho] Flecha no Joelho,2 (25%),0,0,2 (25%),1 (13%),0,0,0,1 (13%),2 (25%),8,3 (38%)
[INATEL] stormtroop3rs,1 (10%),0,0,2 (20%),1 (10%),0,4 (40%),0,1 (10%),1 (10%),10,5 (50%)
[FAI] UaiFAI,1 (33%),0,0,0,1 (33%),0,0,0,0,1 (33%),3,2 (67%)
[FACOM-UFMS] Maze Coders,2 (14%),1 (7%),0,1 (7%),1 (7%),0,5 (36%),0,3 (21%),1 (7%),14,3 (21%)
[UFCG] !xor&!,1 (6%),2 (11%),0,2 (11%),1 (6%),2 (11%),3 (17%),3 (17%),2 (11%),2 (11%),18,8 (44%)
[UFPE] 0xE,1 (7%),2 (14%),1 (7%),1 (7%),2 (14%),1 (7%),1 (7%),2 (14%),2 (14%),1 (7%),14,9 (64%)
